master_regulator	target1	target2
AT3G18550	AT1G77450	AT4G34000
AT3G18550	AT1G22640	AT1G77450
AT3G18550	AT1G01720	AT1G22640
AT3G18550	AT1G01720	AT2G36270
AT3G18550	AT1G01720	AT2G22430
AT3G18550	AT1G01720	AT5G05410
AT3G18550	AT1G77450	AT5G05410
AT3G18550	AT1G77450	AT4G31800
AT3G18550	AT5G05410	AT5G60850
AT3G18550	AT4G31800	AT5G05410
AT3G18550	AT1G69490	AT2G18550
AT3G18550	AT1G69490	AT5G60850
AT3G18550	AT1G69490	AT4G36740
AT3G18550	AT4G31800	AT4G36740
AT3G18550	AT2G22430	AT4G31800
AT3G18550	AT2G01570	AT4G31800
AT3G18550	AT4G36740	AT5G47370
AT3G18550	AT2G22540	AT4G36740
AT3G18550	AT1G52880	AT4G36740
AT3G18550	AT2G36270	AT4G36740
AT3G18550	AT2G18550	AT4G14770
AT3G18550	AT2G22430	AT5G60850
AT3G18550	AT5G60850	AT5G66700
AT3G18550	AT1G52880	AT5G60850
AT3G18550	AT2G36270	AT5G47370
AT3G18550	AT2G22430	AT2G36270
AT3G18550	AT2G18550	AT2G22540
AT3G18550	AT2G22430	AT2G22540
AT3G18550	AT2G18550	AT2G22430
AT3G18550	AT2G18550	AT5G47370
AT3G18550	AT1G52880	AT5G66700
AT3G18550	AT5G47370	AT5G66700
AT3G18550	AT2G22430	AT5G66700
AT3G18550	AT2G01570	AT2G22430
AT3G18550	AT2G01570	AT5G47370
AT3G60490	AT1G22640	AT1G77450
AT3G60490	AT1G27730	AT5G60850
AT3G60490	AT1G27730	AT4G31800
AT3G60490	AT1G77450	AT4G31800
AT5G63790	AT1G77450	AT4G34000
AT5G53210	AT1G77450	AT4G34000
AT5G53210	AT1G77450	AT5G05410
AT5G53210	AT1G22640	AT1G77450
AT5G53210	AT2G36270	AT5G47370
AT5G53210	AT5G47370	AT5G66700
AT5G53210	AT1G01720	AT5G04340
AT5G53210	AT1G01720	AT2G22430
AT5G53210	AT1G01720	AT5G05410
AT5G53210	AT1G01720	AT1G22640
AT5G53210	AT1G01720	AT5G25190
AT5G53210	AT1G01720	AT2G36270
AT5G53210	AT2G22430	AT5G25190
AT5G53210	AT2G22430	AT2G36270
AT5G53210	AT2G22430	AT5G66700
AT5G39610	AT1G69490	AT5G60850
AT4G36740	AT1G69490	AT5G60850
AT4G36740	AT5G60850	AT5G66700
AT4G36740	AT5G39610	AT5G60850
AT4G36740	AT1G44830	AT5G60850
AT4G36740	AT2G22430	AT5G60850
AT4G36740	AT1G52880	AT5G60850
AT4G36740	AT3G60490	AT5G60850
AT4G36740	AT1G27730	AT5G60850
AT4G36740	AT5G25190	AT5G60850
AT4G36740	AT1G69490	AT5G39610
AT4G36740	AT4G04890	AT4G31800
AT4G36740	AT2G18550	AT4G04890
AT4G36740	AT1G69490	AT2G18550
AT4G36740	AT2G22430	AT5G25190
AT4G36740	AT5G25190	AT5G67060
AT4G36740	AT2G36270	AT5G67060
AT4G36740	AT2G36270	AT5G47370
AT4G36740	AT2G22430	AT2G36270
AT4G36740	AT2G01570	AT2G22430
AT4G36740	AT2G01570	AT5G47370
AT4G36740	AT2G01570	AT4G31800
AT4G36740	AT2G18550	AT2G22540
AT4G36740	AT2G18550	AT2G22430
AT4G36740	AT2G18550	AT5G47370
AT4G36740	AT2G18550	AT4G14770
AT4G36740	AT1G52880	AT5G66700
AT4G36740	AT2G22430	AT5G66700
AT4G36740	AT5G47370	AT5G66700
AT4G36740	AT5G53210	AT5G66700
AT4G36740	AT4G31800	AT5G67060
AT4G36740	AT1G27730	AT4G31800
AT4G36740	AT2G22430	AT4G31800
AT4G36740	AT1G36060	AT4G31800
AT4G36740	AT2G22430	AT5G67060
AT4G36740	AT2G22430	AT2G22540
AT4G36740	AT1G09530	AT5G67060
AT4G36740	AT1G27730	AT4G14770
AT4G36740	AT1G27730	AT5G53210
AT4G36740	AT5G47370	AT5G53210
AT4G36740	AT1G27730	AT5G67060
AT4G36740	AT1G27730	AT3G60490
AT4G36740	AT2G22540	AT5G67060
AT4G14770	AT1G27730	AT5G53210
AT4G14770	AT1G27730	AT5G60850
AT4G14770	AT2G22430	AT5G60850
AT4G14770	AT1G44830	AT5G60850
AT4G14770	AT5G25190	AT5G60850
AT4G14770	AT2G18550	AT4G04890
AT4G14770	AT2G18550	AT2G22430
AT4G14770	AT2G22430	AT5G25190
AT4G04890	AT4G31800	AT4G36740
AT2G36270	AT2G18550	AT2G22430
AT2G36270	AT2G18550	AT4G14770
AT2G36270	AT2G18550	AT4G04890
AT2G36270	AT2G18550	AT5G47370
AT2G36270	AT1G69490	AT2G18550
AT2G36270	AT3G60490	AT5G60850
AT2G36270	AT1G52880	AT4G36740
AT2G36270	AT1G69490	AT4G36740
AT2G36270	AT4G04890	AT4G36740
AT2G36270	AT4G36740	AT5G47370
AT2G36270	AT2G22430	AT5G60850
AT2G36270	AT2G22430	AT5G67060
AT2G36270	AT1G01720	AT2G22430
AT2G36270	AT2G22430	AT5G66700
AT2G36270	AT2G01570	AT2G22430
AT2G36270	AT1G52880	AT5G66700
AT2G36270	AT5G60850	AT5G66700
AT2G36270	AT5G47370	AT5G66700
AT2G36270	AT2G01570	AT5G47370
AT2G36270	AT1G01720	AT5G04340
AT2G36270	AT1G01720	AT1G22640
AT2G36270	AT1G22640	AT1G77450
AT2G36270	AT1G77450	AT4G34000
AT2G36270	AT1G52880	AT5G60850
AT2G36270	AT1G69490	AT5G60850
AT2G22540	AT1G77450	AT4G34000
AT2G22540	AT2G18550	AT4G14770
AT2G22540	AT2G18550	AT2G22430
AT2G22540	AT1G06850	AT1G44830
AT2G22540	AT2G36270	AT4G36740
AT2G22540	AT2G22430	AT2G36270
AT2G22540	AT2G22430	AT5G67060
AT2G22540	AT2G01570	AT2G22430
AT2G22540	AT1G09530	AT5G67060
AT2G22540	AT1G77450	AT5G05410
AT2G22540	AT2G36270	AT5G67060
AT2G18550	AT2G22430	AT5G25190
AT2G18550	AT2G22430	AT2G22540
AT2G18550	AT2G01570	AT5G47370
AT2G18550	AT1G69490	AT5G39610
AT2G18550	AT2G01570	AT2G22430
AT1G52880	AT5G60850	AT5G66700
AT1G52880	AT1G44830	AT5G60850
AT1G52880	AT5G39610	AT5G60850
AT1G52880	AT5G05410	AT5G60850
AT1G27730	AT5G25190	AT5G67060
AT1G27730	AT1G09530	AT5G67060
AT1G27730	AT4G31800	AT5G67060
AT1G27730	AT1G44830	AT5G60850
AT1G27730	AT5G25190	AT5G60850
AT1G27730	AT3G60490	AT5G60850
AT1G27730	AT2G18550	AT4G14770
AT1G27730	AT2G18550	AT4G04890
AT1G27730	AT4G04890	AT4G36740
AT1G27730	AT4G31800	AT4G36740
AT1G27730	AT1G77450	AT4G34000
AT1G27730	AT1G01720	AT5G04340
AT1G27730	AT1G77450	AT4G31800
AT1G27730	AT2G01570	AT4G31800
AT1G27730	AT4G04890	AT4G31800
AT1G27730	AT1G36060	AT4G31800
AT1G27730	AT1G01720	AT5G25190
AT5G47370	AT1G69490	AT5G39610
AT5G47370	AT2G36270	AT4G36740
AT5G47370	AT1G52880	AT4G36740
AT5G47370	AT1G52880	AT5G66700
AT5G47370	AT2G18550	AT4G14770
AT5G47370	AT1G69490	AT2G18550
AT5G47370	AT1G27730	AT3G60490
AT5G47370	AT1G69490	AT4G36740
AT5G47370	AT1G27730	AT4G36740
AT5G47370	AT5G53210	AT5G66700
AT5G47370	AT1G27730	AT5G53210
AT5G47370	AT1G27730	AT4G14770
AT2G22430	AT1G69490	AT5G39610
AT2G22430	AT5G39610	AT5G60850
AT2G22430	AT1G01720	AT2G36270
AT2G22430	AT2G36270	AT5G67060
AT2G22430	AT2G36270	AT5G47370
AT2G22430	AT1G52880	AT5G66700
AT2G22430	AT1G52880	AT5G60850
AT2G22430	AT1G01720	AT1G22640
AT2G22430	AT1G22640	AT1G77450
AT2G22430	AT2G18550	AT5G47370
AT2G22430	AT2G18550	AT2G22540
AT2G22430	AT1G69490	AT2G18550
AT2G22430	AT4G31800	AT5G67060
AT2G22430	AT2G22540	AT5G67060
AT2G22430	AT5G25190	AT5G67060
AT2G22430	AT1G69490	AT5G60850
AT2G22430	AT5G60850	AT5G66700
AT2G22430	AT5G25190	AT5G60850
AT2G22430	AT1G44830	AT5G60850
AT2G22430	AT5G47370	AT5G66700
AT2G22430	AT1G77450	AT4G34000
AT2G22430	AT2G01570	AT5G47370
AT2G22430	AT2G01570	AT4G31800
AT2G22430	AT1G01720	AT5G04340
AT2G22430	AT1G77450	AT4G31800
AT2G22430	AT1G01720	AT5G25190
AT2G01570	AT2G22430	AT4G31800
AT5G66700	AT2G22430	AT5G60850
AT5G66700	AT2G01570	AT2G22430
AT5G66700	AT2G22430	AT2G22540
AT5G66700	AT2G18550	AT2G22430
AT5G66700	AT2G22430	AT5G25190
AT5G66700	AT5G47370	AT5G53210
AT5G66700	AT2G18550	AT5G47370
AT5G66700	AT2G01570	AT5G47370
AT5G66700	AT5G25190	AT5G60850
AT5G66700	AT1G52880	AT5G60850
AT5G66700	AT5G39610	AT5G60850
AT5G66700	AT2G18550	AT2G22540
AT5G66700	AT2G18550	AT4G14770
AT5G60850	AT1G69490	AT5G39610
AT5G60850	AT1G69490	AT2G18550
AT5G60850	AT2G18550	AT2G22430
AT5G60850	AT2G22430	AT5G66700
AT5G60850	AT2G22430	AT5G25190
AT5G60850	AT1G27730	AT3G60490
AT5G60850	AT1G52880	AT5G66700
AT5G60850	AT2G18550	AT4G04890
AT4G31800	AT2G18550	AT4G04890
AT4G31800	AT4G04890	AT4G36740
AT4G31800	AT1G69490	AT4G36740
AT4G31800	AT1G69490	AT2G18550
AT4G31800	AT1G69490	AT5G60850
AT4G31800	AT1G69490	AT5G39610
AT4G31800	AT2G22430	AT2G36270
AT4G31800	AT2G22430	AT5G67060
AT4G31800	AT2G18550	AT2G22430
AT4G31800	AT2G22430	AT5G60850
AT4G31800	AT2G01570	AT2G22430
AT4G31800	AT2G22430	AT5G25190
AT4G31800	AT2G22430	AT2G22540
AT4G31800	AT2G22540	AT4G36740
AT4G31800	AT2G22540	AT5G67060
AT4G31800	AT2G18550	AT2G22540
AT4G31800	AT5G25190	AT5G60850
AT4G31800	AT5G25190	AT5G67060
AT4G31800	AT1G52880	AT4G36740
AT4G31800	AT1G52880	AT5G60850
AT4G31800	AT5G39610	AT5G60850
AT4G31800	AT2G18550	AT4G14770
AT4G31800	AT2G18550	AT5G47370
AT4G31800	AT5G05410	AT5G60850
AT4G31800	AT1G77450	AT5G05410
AT4G31800	AT1G27730	AT5G60850
AT4G31800	AT1G44830	AT5G60850
AT4G31800	AT1G27730	AT5G53210
AT4G31800	AT1G27730	AT4G36740
AT4G31800	AT1G27730	AT5G67060
AT4G31800	AT1G27730	AT4G14770
AT4G31800	AT1G09530	AT5G67060
AT4G31800	AT2G36270	AT5G67060
AT4G31800	AT1G22640	AT1G77450
AT4G31800	AT5G47370	AT5G53210
AT4G31800	AT4G36740	AT5G47370
AT4G31800	AT2G36270	AT5G47370
AT4G31800	AT2G01570	AT5G47370
AT4G31800	AT2G36270	AT4G36740
AT1G69490	AT5G60850	AT5G66700
AT1G69490	AT1G44830	AT5G60850
AT1G69490	AT5G25190	AT5G60850
AT1G69490	AT5G39610	AT5G60850
AT1G69490	AT5G05410	AT5G60850
AT5G05410	AT1G77450	AT4G31800
AT5G05410	AT1G01720	AT2G36270
AT1G77450	AT1G69490	AT5G60850
AT1G77450	AT4G31800	AT5G05410
AT1G77450	AT1G01720	AT5G05410
AT1G77450	AT1G01720	AT1G22640
AT1G77450	AT5G05410	AT5G60850
AT1G77450	AT5G60850	AT5G66700
AT1G01720	AT2G36270	AT4G36740
AT1G01720	AT2G22430	AT2G36270
AT1G01720	AT2G36270	AT5G47370
AT1G01720	AT2G18550	AT4G04890
AT1G01720	AT4G04890	AT4G36740
AT1G01720	AT3G60490	AT5G60850
AT1G01720	AT2G01570	AT5G47370
AT1G01720	AT2G01570	AT2G22430
AT1G01720	AT5G05410	AT5G60850
AT1G01720	AT2G22430	AT5G60850
AT1G01720	AT5G39610	AT5G60850
AT1G01720	AT5G60850	AT5G66700
AT1G01720	AT5G25190	AT5G60850
AT1G01720	AT2G22430	AT5G66700
AT1G01720	AT5G47370	AT5G66700
AT1G01720	AT2G18550	AT2G22430
AT1G01720	AT2G22430	AT5G25190
AT1G01720	AT2G18550	AT5G47370
AT1G01720	AT4G36740	AT5G47370
AT1G22640	AT1G77450	AT4G34000
AT1G22640	AT1G77450	AT5G05410
AT1G22640	AT1G01720	AT5G05410
AT5G67060	AT1G77450	AT5G05410
AT5G67060	AT1G01720	AT5G05410
AT5G67060	AT5G05410	AT5G60850
AT5G67060	AT4G31800	AT5G05410
AT5G67060	AT1G77450	AT4G31800
AT5G67060	AT1G22640	AT1G77450
AT5G67060	AT1G77450	AT4G34000
AT5G67060	AT1G01720	AT2G36270
AT5G67060	AT1G01720	AT5G04340
AT5G67060	AT1G01720	AT5G25190
AT5G67060	AT1G01720	AT2G22430
AT5G67060	AT1G01720	AT1G22640
AT5G67060	AT2G01570	AT4G31800
AT5G67060	AT2G01570	AT5G47370
AT5G67060	AT2G01570	AT2G22430
AT5G67060	AT3G60490	AT5G60850
AT5G67060	AT1G27730	AT3G60490
AT5G67060	AT1G27730	AT5G60850
AT5G67060	AT2G22430	AT5G60850
AT5G67060	AT5G25190	AT5G60850
AT5G67060	AT1G69490	AT5G60850
AT5G67060	AT5G60850	AT5G66700
AT5G67060	AT5G39610	AT5G60850
AT5G67060	AT1G52880	AT5G60850
AT5G67060	AT1G52880	AT5G66700
AT5G67060	AT5G47370	AT5G66700
AT5G67060	AT2G22430	AT5G66700
AT5G67060	AT2G22430	AT5G25190
AT5G67060	AT1G69490	AT5G39610
AT5G67060	AT2G22430	AT2G36270
AT5G67060	AT2G22430	AT4G31800
AT5G67060	AT2G22430	AT2G22540
AT5G67060	AT1G27730	AT4G31800
AT5G67060	AT2G36270	AT5G47370
AT5G67060	AT1G27730	AT4G14770
AT5G25190	AT1G52880	AT5G60850
AT5G25190	AT1G01720	AT2G36270
AT5G25190	AT2G36270	AT5G67060
AT5G25190	AT2G22430	AT2G36270
AT5G25190	AT1G01720	AT2G22430
AT5G25190	AT2G01570	AT2G22430
AT5G25190	AT2G22430	AT5G60850
AT5G25190	AT2G22430	AT5G67060
AT4G34000	AT1G77450	AT5G05410
AT1G06850	AT1G52880	AT4G36740
AT1G09530	AT5G25190	AT5G67060
